Alloy Name,Serial Number,Al,Ag,B,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Mo,Nb,Ni,O,Pb,Sc,Si,Sn,Ta,Te,Ti,V,Zn,Zr,D @ 1000K (cm²/s)_weighted,D @ 500K (cm²/s)_weighted,D @ 600K (cm²/s)_weighted,D @ 700K (cm²/s)_weighted,D @ 800K (cm²/s)_weighted,D @ 900K (cm²/s)_weighted,D0 (cm²/s)_weighted,Q (kJ/mol)_weighted,atomic_number_weighted,atomic_volume_elemental_phase_A3_per_atom_mp_weighted,atomic_weight_weighted,band_gap_elemental_phase_eV_mp_weighted,bulk_modulus_vrh_elemental_phase_GPa_mp_weighted,density_elemental_phase_g_cm3_mp_weighted,electronegativity_weighted,formation_energy_eV_atom,lattice_a_elemental_phase_A_mp_weighted,lattice_alpha_elemental_phase_deg_mp_weighted,lattice_b_elemental_phase_A_mp_weighted,lattice_beta_elemental_phase_deg_mp_weighted,lattice_c_elemental_phase_A_mp_weighted,lattice_gamma_elemental_phase_deg_mp_weighted,melting_point_K_weighted,poisson_ratio_homogeneous_elemental_phase_mp_weighted,shear_modulus_vrh_elemental_phase_GPa_mp_weighted,space_group_number_elemental_phase_mp_weighted,specific_heat_J_gK_weighted,thermal_conductivity_W_mK_weighted,valence_electrons_weighted,young_modulus_vrh_elemental_phase_GPa_mp_weighted,Size_Mismatch_δ,SFE_weighted_mJ_m2,Size_Mismatch_δ.1,Total_Excess_Solute,L12_Score,Ternary_L12_Avg,Ternary_ThreePhase_Avg,Process,YS,UTS,Elongation
Al-5Mg2Si-2Mg,27,92.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.0000000225,1.2E-16,3.97E-14,3.29E-12,1.05E-10,0.00000000188,51.867452,134.2314,12.9844,16.84030872,26.893576,0.01752135,74.80936,2.667683624,1.605033,3.342304,2.898464527,61.32900348,2.89846456,61.32900274,2.985699941,62.6580025,954.63249,0.326793,27.13962,223.6841,0.899863,230.8861,2.9844,70.6145,0.454609054,161.98641,0.454609054,0,0,0,1,1000000,295,453,9
Al-Mg-Sc alloy (CalciScAl®),28,95.26,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.0000000231,1.22E-16,4.05E-14,3.36E-12,1.08E-10,0.00000000192,0.2107376,125.23198,13.0336,16.87685985,27.02533,0,74.0518,2.680051091,1.594316,3.312708,2.875602042,61.26000325,2.875602041,61.26000278,2.958611468,62.5200023,937.752722,0.32817,25.56776,223.698,0.90159,232.806,2.9568,68.80348,0.361867024,162.0390107,0.361867024,0.653426423,0.42,0,0,1000000,459,522,14
Al-4.24Cu-1.97Mg-0.56Mn,29,95.63,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,2.24,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000228,1.21E-16,4.01E-14,3.33E-12,1.06E-10,0.0000000019,0.2033728,126.25824,13.3072,16.50186682,27.675025,0,76.3888,2.831710366,1.608477,3.348422,2.871083788,60.81052286,2.871083822,60.81052222,2.915194161,61.48252176,942.724506,0.329065,26.3538,224.2832,0.892077,237.577868,3.1368,70.9084,0.235490977,162.3906939,0.235490977,0,0,0,1,1000000,464.06,493.3,4.76
Al-Zn-Si-Mg-Cu alloy,30,87.59,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,2.33,0,0,0,0,0,0,0,6.56,0,0,0,0,0,2.95,0,0.0000000631,2.7081,1.21E-13,1.31E-11,4.19E-10,0.00000000644,118.2610776,143.307685,13.6379,16.76414641,28.338209,0.0400488,76.67658,2.851824068,1.625057,3.368279,2.91974659,61.59000382,2.919746661,61.59000275,3.03226377,63.17400232,978.108599,0.323519,29.93816,223.5169,0.872419,226.7453,3.3545,74.8295,0.607761366,158.4614232,0.607761366,0,0,0,1,1000000,402,449,1.3
Al-Li alloy (based on 2A97 alloy),31,92.12,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0.02,0,5.09,0.53,0.14,0,0,0,0,0,0,0.08,0,0,0,0,0,0.15,0.03,0.00000485,0.137700002,0.0000000266,0.000000156,0.000000616,0.0000019,1.631195624,122.489755,12.8397,16.60920934,26.754089,0.0004884,73.77317,2.741956697,1.582227,3.2913,2.870982295,61.23760254,2.870982248,61.23760186,3.119167773,60.51715577,918.667627,0.33129,25.41296,221.813,1.025961,231.263324,3.0635,68.00171,0.234098915,157.6852705,0.234098915,0.005505362,5.12,0,0,5000,165,244,5
Al-Zn-Mg-Cu-Si-Zr alloy,32,89.75,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,3.51,0,0,0,0,0,0,0,2.94,0,0,0,0,0,3.05,0.31,0.0000000658,2.7999,1.28E-13,1.37E-11,4.38E-10,0.00000000671,53.11586825,130.955165,13.6698,16.72667685,28.456524,0.0179487,75.36123,2.863644071,1.609814,3.307903,2.888888667,62.06700344,2.888888693,62.06700268,3.032893283,64.12800195,953.61793,0.324795,27.90174,222.9516,0.878944,227.97657,3.3082,72.3783,0.46712879,157.279592,0.46712879,0.274477764,0.31,0,1,1000000,350,421,6.7
Al-Mg-Sc-Zr alloy,33,94.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0.25,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0.12,0.0000000232,1.28E-16,4.19E-14,3.44E-12,1.09E-10,0.00000000194,0.214309696,125.40118,13.0527,16.77342494,27.08612,0,74.22732,2.695663436,1.595245,3.31089,2.885201998,61.62968125,2.885201995,61.62968075,2.983921435,63.12968029,939.691872,0.327851,25.7505,223.4525,0.902052,231.648565,2.9669,69.25208,0.266796025,161.3175621,0.266796025,0.366330234,0.54,0,0,1000000,520,524,3
Al-2Fe alloy,34,99.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000232,1.22E-16,4.06E-14,3.38E-12,1.08E-10,0.00000000193,0.1938752,125.42406,13.1274,16.42528882,27.262926,0,76.9212,2.770841728,1.612156,3.398722,2.852248462,60.29400372,2.852248469,60.29400595,2.867698734,60.4848068,942.069794,0.329608,26.5488,225.0392,0.89559,235.46532,3.049,71.3818,0.117244815,164.5692,0.117244815,0.965505362,0,0,0,1000000,209,287,12
Al-Zn-Mg-Cu alloy,35,93.84,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,2.68,0,0,0.46,0,0,0,0,0,0,0,0,0,0,2.39,0,0.0000000567,2.19402,1.07E-13,1.14E-11,3.65E-10,0.00000000567,0.1992772,123.189047,13.6062,16.55701772,28.353518,0,75.2758,2.876797096,1.604507,3.310369,2.856421095,61.7425708,2.856421098,61.74257022,2.96318119,63.26356954,938.327874,0.327367,26.3541,223.4242,0.884877,232.0886,3.2468,70.7642,0.23263179,159.432332,0.23263179,0,0,0,1,1000000,412,505,12.3
Al-5.5Mg-2Si-Cu alloy,36,91.15,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.07,0,0,6.13,0.26,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0.0000000225,1.2E-16,3.97E-14,3.29E-12,1.05E-10,0.00000000188,35.146972,131.9328,13.0704,16.8718361,27.095333,0.0118437,74.37782,2.69987545,1.598539,3.298663,2.905947095,61.98862857,2.905947102,61.98862808,3.027762116,63.84125641,951.49267,0.326387,26.76414,223.1205,0.899968,230.359986,3.008,70.333,0.43786879,159.9748466,0.43786879,0.055505362,0,0,1,1000000,453,560,9
